id,name,type,categ_id,default_code,barcode,list_price,standard_price,weight,description,image_1920,image,Extra Product Media/Name
37,VW Polo 1.0(70PK) | 1.2 | 1.4 | 1.2Ts Manual Gear 6R – Lowering Springs – Front 25mm – Rear 30mm,GOODS,Lowering Springs,,,159.99,0,0.01,VW POLO 1.0(70PK)/1.2/1.4/1.2TS MANUAL GEAR - 6R - 06/2009+,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
38,BMW 5 Series 525D / 530D Touring E61 2004-2010 – Lowering Springs – Front: 50,GOODS,Lowering Springs,,,149.99,0,0.01,BMW 5 SERIES 525D/530D TOURING E61 06/2004-05/2010,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
39,BMW M5 / M5 Competition Sedan F10 2011-2016 – Lowering Springs – Front: 30 / Rear: 20,GOODS,Lowering Springs,,,169.99,0,0.01,BMW M5 / M5 COMPETITION SEDAN F10 09/2011-10/2016,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
40,VW Lupo 1.0 | 1.4 | 1.4Fsi 6X – Lowering Springs – Front 40mm – Rear 40mm,GOODS,Lowering Springs,,,159.99,0,0.01,Fitment VW LUPO 1.0/1.4/1.4FSI - 6X - 09/1998 to 06/2005,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
41,BMW 5 Series F11 535 / 525D / 530D / 535D With Airsuspension Touring 2010-2017 – Lowering Springs – Front: 40,GOODS,Lowering Springs,,,139.99,0,0.01,BMW 5 SERIES 535/525D/530D/535D with airsuspension HA TOURING F11 06/2010-03/2017 Front Springs only: Lowering 40mm,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
42,BMW 5 Series 520i / 523i / 525i / 528i / 530i / 520D Sedan E60 2003-2010 – Lowering Springs – Front: 50 / Rear: 50,GOODS,Lowering Springs,,,199.99,0,0.01,BMW 5 SERIES 520i/523i/525i/528i/530i/520D SEDAN E60 07/2003-03/2010,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
43,BMW 4 Series 435I/430D Cabriolet F33 2013+ – Lowering Springs – Front: 35 / Rear: 30,GOODS,Lowering Springs,,,169.99,0,0.01,"Fitment BMW 4 SERIES 435i/430D CABRIOLET F33 10/2013- Important Notes: j2,""",https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
44,BMW 1 Series M135I X-Drive/M140I X-Drive Hatchback F20/F21 2012-2019 – Lowering Springs – Front: 25 / Rear: 30,GOODS,Lowering Springs,,,179.99,0,0.01,BMW M135i X-DRIVE/M140i X-DRIVE HATCHBACK F20/F21 02/2012-07/2019,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
45,Volvo C30 2.4I | 2.0D | T5 | 3 | D4 | D5 M – Lowering Springs – Front 30mm – Rear 30mm,GOODS,Lowering Springs,,,169.99,0,0.01,VOLVO C30 2.4i/2.0D/T5/3/D4/D5 - M - 2006 to 2013,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
46,Volvo C70 2.0D | | D3 | D4 | D5 C70 – Lowering Springs – Front 25mm – Rear 30mm,GOODS,Lowering Springs,,,179.99,0,0.01,VOLVO C70 2.0D//D3/D4/D5 - C70 - 03/2006+,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
47,VW Polo 1.4TSI GTI 6R – Lowering Springs – Front 25mm – Rear 30mm,GOODS,Lowering Springs,,,159.99,0,0.01,VW POLO 1.4TSI GTI - 6R - 05/2010+,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
48,VW New Beetle Cabriolet 1.6 1Y7 – Lowering Springs – Front 35mm – Rear 35mm,GOODS,Lowering Springs,,,199.99,0,0.01,VW NEW BEETLE CABRIOLET 1.6 - 1Y7 - 09/2002 to 10/2010,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
49,VW Polo 1.0(70PK) | 1.2 | 1.4 | 1.2Ts Manual Gear 6R – Lowering Springs – Front 50mm – Rear 50mm,GOODS,Lowering Springs,,,159.99,0,0.01,VW POLO 1.0(70PK)/1.2/1.4/1.2TS MANUAL GEAR - 6R - 06/2009+,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
50,Volvo S60 MK1 00-10 Lowering Springs – Front 35mm – Rear 25mm,GOODS,Lowering Springs,,,229.99,0,0.01,VOLVO S60 (all engine types) lowering T5 = 25MM - S60 - 10/2000 to 04/2010,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
51,Volvo V40 T5 | D3 | D4 M – Lowering Springs – Front 25mm – Rear 35mm,GOODS,Lowering Springs,,,159.99,0,0.01,VOLVO V40 T5/D3/D4 - M - 07/2012+,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
52,VW New Beetle Cabriolet 1.8T | 2.0 | 1.9TDI 1Y7 – Lowering Springs – Front 35mm – Rear 35mm,GOODS,Lowering Springs,,,199.99,0,0.01,VW NEW BEETLE CABRIOLET 1.8T/2.0/1.9TDI - 1Y7 - 09/2002 to 10/2010,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
53,VW Passat Sedan 1.8T Aut. | 1.9TDI Aut. | 2.3 V5 No Aut. 3Bg – Lowering Springs – Front 30mm – Rear 30mm,GOODS,Lowering Springs,,,199.99,0,0.01,VW PASSAT SEDAN 1.8T AUT./1.9TDI AUT./2.3 V5 NO AUT. - 3BG - 11/2000 to 2005,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
54,VW Passat 1.4TSI | 1.8TSI | 2.0Fsi | 2.0TSI | 1.6TDI | 1.9TDI 3C – Lowering Springs – Front 30mm – Rear 30mm,GOODS,Lowering Springs,,,179.99,0,0.01,VW PASSAT 1.4TSI/1.8TSI/2.0FSI/2.0TSI/1.6TDI/1.9TDI - 3C - 2005 to 11/2010,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
